system,study,month,day,horizon,ramp_multiplier,upward_adder_fraction,forecast_type,forecast_model,forecast_rho,sigma_rel,seed,shortage_penalty,loc_rp,loc_rp_energy,loc_la,loc_tlmp,delta_la_rp,shed_rp_mwh,shed_la_mwh,spill_rp_mwh,spill_la_mwh,short_up_mwh,short_down_mwh,rcup_active_share,rcdn_active_share,max_rcup,max_tlmp_adjustment,rp_bind_share,la_bind_share,emergency_rp_mwh,emergency_la_mwh
10gen,natural_day_ahead,4,16,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,14794.308860821824,157474.8875121076,35721059.62642799,0.0,35706265.31756717,110.54537428430993,214.68539149781577,1.6760160018926276,52.76614242835747,3893.815124399069,6.148226173809684,0.3680555555555556,0.09722222222222222,65.0,3557.0,0.03333333333333333,0.034722222222222224,112.22139028620256,267.4515339261732
10gen,natural_day_ahead,4,17,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,1268003.9070173118,1273947.495032182,19885051.719171338,0.0,18617047.812154025,0.0,273.39060363516046,66.83436246681185,323.12122937135223,106.46167605487047,0.0,0.0763888888888889,0.19444444444444445,65.0,3520.0,0.03194444444444444,0.03090277777777778,66.83436246681185,596.5118330065127
10gen,natural_day_ahead,4,18,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,1993711.9746938888,1996332.7574735659,4789661.419507662,0.0,2795949.444813773,61.72192847238267,166.4665239409025,22.68310815175818,23.123737258308314,30.17283572626066,0.0,0.03819444444444445,0.006944444444444444,65.0,3519.5,0.051041666666666666,0.03993055555555555,84.40503662414085,189.59026119921083
10gen,natural_day_ahead,7,12,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,127.96415273600542,127.96415273600542,26270.763699534466,0.0,26142.79954679846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.001736111111111111,0.0020833333333333333,0.0,0.0
10gen,natural_day_ahead,7,13,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,433887.0338255446,434705.0751631828,1458712.1603167192,0.0,1024825.1264911746,0.0,6.682047548056365,0.2916853311578885,0.021823140193191648,0.0,0.0,0.0,0.3055555555555556,0.0,3519.5,0.005902777777777778,0.009722222222222222,0.2916853311578885,6.703870688249556
10gen,natural_day_ahead,7,14,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,318.7878125524337,393.089966477223,24360.9696382331,0.0,24042.181825680665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,30.5,0.0006944444444444445,0.0,0.0,0.0
10gen,natural_day_ahead,7,15,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,241146.22898547837,242028.36966023743,4519647.713882899,0.0,4278501.484897421,0.0,10.348779118376285,0.04497404290918894,0.0,0.0,0.0,0.0,0.2048611111111111,0.0,3480.5,0.0038194444444444443,0.005208333333333333,0.04497404290918894,10.348779118376285
10gen,natural_day_ahead,7,16,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,15.073732185235713,15.073732185235713,1579.309937575426,0.0,1564.2362053901902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.00034722222222222224,0.00034722222222222224,0.0,0.0
10gen,natural_day_ahead,7,17,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,4.965422919843149,412.2932734329757,79773.10283679495,0.0,79768.1374138751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2326388888888889,0.0,30.5,0.0006944444444444445,0.0010416666666666667,0.0,0.0
10gen,natural_day_ahead,7,18,13,0.4,0.08,rts_day_ahead,independent,0.0,0.0,0,65.0,0.0,11.100078150320622,680.836856904652,0.0,680.836856904652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04861111111111111,0.0,0.5,0.0,0.0,0.0,0.0
